UserID,q1_1,q1_2,q1_9,q2a,q2b,q2c,q3_A,q3_B,q3_C,q3_D,q3_E,q4_A,q4_B,q4_C,q4_D,q4_E,q5,q6,q7_A,q7_B,q7_C,q7_D,q7_E,q7_F,q8_A,q8_B,q8_C,q8_D,q8_E,q8_F
58,0,1,0,Yes,Product Y,20,5,5,5,5,5,5,5,5,5,5,1,2,5,5,1,1,3,1,1,3,2,4,5,6
63,1,1,0,Yes,Product Y,7,5,5,5,5,5,1,1,1,1,1,1,3,4,1,1,1,4,3,1,5,2,4,6,3
96,1,1,0,Yes,Product X,8,5,5,5,5,5,5,5,5,5,2,5,2,3,1,2,1,1,1,1,2,3,4,5,6
188,0,1,0,Yes,Product Y,33,5,5,5,5,5,5,5,5,4,3,5,2,3,2,2,3,3,2,3,1,4,6,5,2
203,1,1,0,No,,,5,3,5,3,1,,,,,,,3,4,3,2,4,5,2,1,6,2,5,4,3
205,1,1,0,Yes,Product Y,18,5,5,5,5,5,5,5,5,5,1,5,2,5,3,2,3,3,2,1,2,3,5,4,6
213,1,1,0,Yes,Product Y,2,5,5,4,5,5,3,2,1,5,5,1,2,3,3,3,4,4,2,1,6,3,4,5,2
216,1,1,0,Yes,Product Y,1,5,5,5,5,5,3,5,3,5,5,4,2,3,3,2,3,5,2,1,5,4,2,6,3
220,1,1,0,Yes,Product Y,2,5,3,5,3,5,4,5,5,1,5,4,5,4,4,1,4,1,4,1,2,3,4,6,5
224,1,1,0,Yes,Product Y,1,5,5,5,5,5,1,2,1,5,5,2,3,3,3,2,3,5,4,1,3,2,5,6,4
234,1,1,0,Yes,Product X,10,5,4,5,2,4,5,4,5,5,5,5,3,3,1,2,2,5,3,1,4,3,2,6,5
239,1,1,0,Yes,Product Y,1,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,5,3,4,1,3,2,5,6,4
250,1,1,0,No,,,5,5,4,4,5,,,,,,,1,4,5,3,5,5,3,1,6,2,4,5,3
258,1,1,0,Yes,Product Y,39,5,5,5,5,3,4,4,4,5,5,5,1,3,1,2,3,3,3,1,3,2,6,4,5
262,0,1,0,Yes,Product Y,3,5,5,5,5,5,5,5,5,1,1,5,2,4,2,2,2,3,1,3,2,1,6,5,4
270,1,1,0,Yes,Product Y,31,5,3,4,5,3,5,5,3,5,3,4,2,4,3,1,1,2,1,1,3,2,6,5,4
283,1,1,0,Yes,Product Y,41,5,4,4,3,3,4,4,5,3,4,4,3,5,3,3,3,3,3,1,6,4,2,5,3
286,1,1,0,Yes,Product Y,18,5,4,5,2,5,4,3,5,5,5,4,3,5,4,2,3,4,4,1,2,3,6,5,4
299,1,1,0,Yes,Product Y,13,5,4,5,5,5,4,4,4,5,5,4,3,4,2,1,2,1,3,1,3,2,4,6,5
307,1,1,0,Yes,Product Y,80,5,5,5,5,3,5,5,5,5,5,5,2,4,3,1,2,3,3,1,3,2,6,4,5
332,1,1,0,Yes,Product Y,1,5,5,5,5,5,1,3,1,3,3,3,3,5,4,5,5,3,1,3,1,2,5,4,6
336,1,1,0,Yes,Product Y,6,5,5,5,5,1,5,5,5,5,5,5,2,1,1,1,5,1,1,2,4,5,1,6,3
348,1,1,0,Yes,Product Y,46,5,5,5,5,5,5,3,5,5,5,5,1,3,1,2,3,2,1,1,4,3,6,5,2
474,1,1,0,Yes,Product X,2,5,5,5,5,2,3,4,4,5,1,5,2,5,4,3,5,4,4,3,6,1,2,5,4
480,0,1,0,Yes,Product Y,26,5,5,5,1,5,5,4,1,5,1,4,1,5,1,1,1,1,1,2,1,6,5,3,4
552,0,1,0,Yes,Product Y,1,5,5,5,4,5,2,1,1,2,2,2,3,3,3,1,1,3,3,1,2,4,5,6,3
619,1,1,0,Yes,Product X,13,5,5,5,5,3,5,5,5,5,2,5,2,4,3,2,3,3,2,1,4,2,6,3,5
