类别：所有类别

周,microsoft: (美国)
2017-09-17,97
2017-09-24,97
2017-10-01,91
2017-10-08,88
2017-10-15,90
2017-10-22,88
2017-10-29,88
2017-11-05,90
2017-11-12,94
2017-11-19,90
2017-11-26,98
2017-12-03,95
2017-12-10,92
2017-12-17,83
2017-12-24,79
2017-12-31,82
2018-01-07,94
2018-01-14,91
2018-01-21,95
2018-01-28,98
2018-02-04,95
2018-02-11,90
2018-02-18,89
2018-02-25,95
2018-03-04,89
2018-03-11,89
2018-03-18,90
2018-03-25,89
2018-04-01,88
2018-04-08,89
2018-04-15,89
2018-04-22,86
2018-04-29,85
2018-05-06,88
2018-05-13,84
2018-05-20,84
2018-05-27,79
2018-06-03,90
2018-06-10,93
2018-06-17,82
2018-06-24,82
2018-07-01,73
2018-07-08,85
2018-07-15,90
2018-07-22,85
2018-07-29,89
2018-08-05,90
2018-08-12,94
2018-08-19,96
2018-08-26,100
2018-09-02,96
2018-09-09,95
