month,submissions,historical_delta
Jul-91,0,-2
Aug-91,27,-1
Sep-91,58,0
Oct-91,76,0
Nov-91,64,0
Dec-91,78,0
Jan-92,88,-105
Feb-92,124,-10
Mar-92,117,-3
Apr-92,184,-41
May-92,226,-11
Jun-92,232,-5
Jul-92,274,-22
Aug-92,223,-4
Sep-92,315,-21
Oct-92,372,-29
Nov-92,437,-16
Dec-92,394,-10
Jan-93,364,-36
Feb-93,412,-16
Mar-93,495,-9
Apr-93,488,-17
May-93,531,-7
Jun-93,520,-16
Jul-93,608,-35
Aug-93,516,-25
Sep-93,502,-16
Oct-93,642,-36
Nov-93,698,-16
Dec-93,723,-15
Jan-94,582,-28
Feb-94,634,-19
Mar-94,729,-24
Apr-94,699,-39
May-94,823,-18
Jun-94,856,-32
Jul-94,840,-23
Aug-94,746,-20
Sep-94,851,-33
Oct-94,909,-23
Nov-94,1075,-39
Dec-94,1022,-33
Jan-95,897,-36
Feb-95,941,-36
Mar-95,1131,-37
Apr-95,882,-31
May-95,1088,-22
Jun-95,1168,-27
Jul-95,992,-25
Aug-95,1008,-22
Sep-95,1104,-29
Oct-95,1206,-23
Nov-95,1134,-28
Dec-95,1110,-37
Jan-96,1029,-22
Feb-96,1053,-23
Mar-96,1146,-23
Apr-96,1171,-49
May-96,1316,-42
Jun-96,1277,-34
Jul-96,1392,-32
Aug-96,1375,-19
Sep-96,1453,-21
Oct-96,1490,-30
Nov-96,1375,-27
Dec-96,1434,-33
Jan-97,1277,-31
Feb-97,1328,-34
Mar-97,1387,-24
Apr-97,1434,-34
May-97,1549,-32
Jun-97,1678,-31
Jul-97,1763,-41
Aug-97,1411,-15
Sep-97,1845,-37
Oct-97,1981,-26
Nov-97,1685,-32
Dec-97,1918,-31
Jan-98,1712,-11
Feb-98,1668,0
Mar-98,1908,-3
Apr-98,1735,-12
May-98,1916,-2
Jun-98,2083,-6
Jul-98,2089,-12
Aug-98,1820,-6
Sep-98,2405,-9
Oct-98,2297,-33
Nov-98,2228,-14
Dec-98,2196,-7
Jan-99,1827,-23
Feb-99,1916,-3
Mar-99,2379,-15
Apr-99,2147,-9
May-99,2204,-17
Jun-99,2422,-5
Jul-99,2391,-23
Aug-99,2138,-1
Sep-99,2490,-12
Oct-99,2565,-6
Nov-99,2489,-29
Dec-99,2587,-6
Jan-00,2359,-6
Feb-00,2366,0
Mar-00,2591,-9
Apr-00,2068,-9
May-00,2718,-9
Jun-00,2436,-3
Jul-00,2445,-16
Aug-00,2612,-1
Sep-00,2515,-7
Oct-00,2910,-3
Nov-00,2853,-11
Dec-00,2653,-1
